Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
39.8,-0.27105,-0.06613,,
39.9,-0.29631,-0.09058,,
40.0,-0.31538,-0.11034,,
40.1,-0.32977,-0.12520,,
40.2,-0.33931,-0.13572,,
40.3,-0.34559,-0.14296,,
40.4,-0.34969,-0.14750,,
40.5,-0.35233,-0.15040,,
40.6,-0.35270,-0.15233,,
40.7,-0.35382,-0.15429,,
40.8,-0.35660,-0.15701,,
40.9,-0.36008,-0.16063,,
41.0,-0.36568,-0.16504,,
41.1,-0.37072,-0.16946,,
41.2,-0.37444,-0.17359,,
41.3,-0.37787,-0.17728,,
41.4,-0.38091,-0.18083,,
41.5,-0.38420,-0.18450,,
41.6,-0.38872,-0.18887,,
41.7,-0.39294,-0.19441,,
41.8,-0.39934,-0.20197,,
41.9,-0.40977,-0.21207,,
42.0,-0.42294,-0.22457,,
42.1,-0.43864,-0.23903,,
42.2,-0.45458,-0.25429,,
42.3,-0.47018,-0.26979,,
42.4,-0.48516,-0.28519,,
42.5,-0.50007,-0.30045,,
42.6,-0.51586,-0.31576,,
42.7,-0.53101,-0.33113,,
42.8,-0.54606,-0.34664,,
42.9,-0.56198,-0.36236,,
43.0,-0.57789,-0.37795,,
43.1,-0.59400,-0.39325,,
43.2,-0.60841,-0.40776,,
43.3,-0.62156,-0.42105,,
43.4,-0.63442,-0.43274,,
43.5,-0.64423,-0.44187,,
43.6,-0.65107,-0.44790,,
43.7,-0.65320,-0.45113,,
43.8,-0.65068,-0.44664,,
43.9,-0.64191,-0.43889,,
44.0,-0.62912,-0.42735,,
44.1,-0.61311,-0.41320,,
44.2,-0.59655,-0.39846,,
44.3,-0.58155,-0.38459,,
44.4,-0.56980,-0.37263,,
44.5,-0.56065,-0.36236,,
44.6,-0.55290,-0.35319,,
44.7,-0.54384,-0.34397,,
44.8,-0.53408,-0.33419,,
44.9,-0.52334,-0.32330,,
45.0,-0.51153,-0.31128,,
45.1,-0.49804,-0.29833,,
45.2,-0.48331,-0.28483,,
45.3,-0.46965,-0.27170,,
45.4,-0.45689,-0.25962,,
45.5,-0.44620,-0.24920,,
45.6,-0.43807,-0.24043,,
45.7,-0.43125,-0.23309,,
45.8,-0.42497,-0.22673,,
45.9,-0.41945,-0.22092,,
46.0,-0.41408,-0.21541,,
46.1,-0.40854,-0.21014,,
46.2,-0.40332,-0.20518,,
46.3,-0.39866,-0.20075,,
46.4,-0.39465,-0.19705,,
46.5,-0.39195,-0.19425,,
46.6,-0.39016,-0.19248,,
46.7,-0.38900,-0.19165,,
46.8,-0.38960,-0.19428,,
46.9,-0.39441,-0.19942,,
47.0,-0.40313,-0.20821,,
47.1,-0.41598,-0.22064,,
47.2,-0.43277,-0.23603,,
47.3,-0.45114,-0.25302,,
47.4,-0.46973,-0.27010,,
47.5,-0.48645,-0.28581,,
47.6,-0.49967,-0.29967,,
47.7,-0.51007,-0.31201,,
47.8,-0.52088,-0.32420,,
47.9,-0.53312,-0.33776,,
