Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
28.6,-0.07334,-1.93736,,
28.7,-0.07286,-1.93553,,
28.8,-0.07213,-1.93297,,
28.9,-0.06871,-1.92805,,
29.0,-0.06018,-1.91972,,
29.1,-0.04758,-1.90767,,
29.2,-0.03177,-1.89255,,
29.3,-0.01278,-1.87558,,
29.4,0.00586,-1.85844,,
29.5,0.02227,-1.84291,,
29.6,0.03627,-1.83038,,
29.7,0.04463,-1.82195,,
29.8,0.04801,-1.81744,,
29.9,0.04776,-1.81594,,
30.0,0.04555,-1.81711,,
30.1,0.04241,-1.81829,,
30.2,0.04224,-1.81632,,
30.3,0.04760,-1.81249,,
30.4,0.05550,-1.80707,,
30.5,0.06282,-1.80233,,
30.6,0.06664,-1.79888,,
30.7,0.06298,-1.80383,,
30.8,0.05355,-1.81208,,
30.9,0.03968,-1.82458,,
31.0,0.02241,-1.83949,,
31.1,0.00516,-1.85499,,
31.2,-0.00956,-1.86963,,
31.3,-0.02257,-1.88246,,
31.4,-0.03378,-1.89333,,
31.5,-0.04193,-1.90252,,
31.6,-0.04923,-1.91107,,
31.7,-0.05691,-1.92023,,
31.8,-0.06692,-1.93142,,
31.9,-0.08147,-1.94502,,
32.0,-0.09942,-1.96107,,
32.1,-0.11665,-1.97863,,
32.2,-0.13558,-1.99744,,
32.3,-0.15544,-2.01747,,
32.4,-0.17573,-2.03896,,
32.5,-0.20012,-2.06193,,
32.6,-0.22566,-2.08519,,
32.7,-0.24937,-2.10729,,
32.8,-0.26978,-2.12658,,
32.9,-0.28503,-2.14235,,
33.0,-0.29579,-2.15514,,
33.1,-0.30540,-2.16645,,
33.2,-0.31572,-2.17795,,
33.3,-0.32837,-2.19030,,
33.4,-0.34404,-2.20325,,
33.5,-0.35761,-2.21520,,
33.6,-0.36781,-2.22435,,
33.7,-0.37419,-2.23020,,
33.8,-0.37348,-2.22780,,
33.9,-0.36578,-2.22056,,
34.0,-0.35161,-2.20743,,
34.1,-0.33240,-2.18981,,
34.2,-0.30993,-2.16922,,
34.3,-0.28736,-2.14756,,
34.4,-0.26508,-2.12637,,
34.5,-0.24459,-2.10654,,
34.6,-0.22789,-2.08814,,
34.7,-0.21183,-2.07032,,
34.8,-0.19400,-2.05215,,
