

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2894    0.022    0.000    0.244    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:605(_set_tickdown)
        1    0.005    0.005    0.240    0.240 /usr/lib/python2.7/dist-packages/scipy/stats/distributions.py:7(<module>)
     2956    0.018    0.000    0.239    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2042(__eq__)
    11982    0.131    0.000    0.239    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:299(connect)
     8687    0.046    0.000    0.238    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1583(frozen)
     1076    0.014    0.000    0.237    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:341(_get_text1)
     2790    0.021    0.000    0.237    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:592(_set_tickright)
6122/6077    0.067    0.000    0.235    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1526(__eq__)
     4387    0.029    0.000    0.233    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:788(from_extents)
     1050    0.014    0.000    0.233    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:484(_get_text1)
    95354    0.232    0.000    0.232    0.000 dektakWithoutMain.py:135(coefC)
     4141    0.012    0.000    0.231    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:778(from_bounds)
     5373    0.014    0.000    0.230    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:461(_get_transformed_path)
     2790    0.021    0.000    0.230    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:586(_set_tickleft)
        2    0.000    0.000    0.226    0.113 /usr/lib/pymodules/python2.7/matplotlib/collections.py:239(draw)
    48590    0.150    0.000    0.226    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:484(is_string_like)
     1076    0.013    0.000    0.225    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:359(_get_text2)
        2    0.000    0.000    0.225    0.113 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:109(draw_path_collection)
        2    0.225    0.112    0.225    0.113 {built-in method draw_path_collection}
     5367    0.012    0.000    0.223    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2537(get_affine)
83998/41999    0.192    0.000    0.223    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:751(pack_items)
      196    0.077    0.000    0.220    0.001 /usr/lib/python2.7/dist-packages/scipy/misc/doccer.py:12(docformat)
     1050    0.013    0.000    0.217    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:500(_get_text2)
     2602    0.212    0.000    0.212    0.000 {numpy.core.multiarray.where}
     3005    0.021    0.000    0.211    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:809(_set_artist_props)
       85    0.003    0.000    0.208    0.002 /usr/lib/python2.7/dist-packages/scipy/stats/distributions.py:986(__init__)
        1    0.001    0.001    0.202    0.202 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:17(<module>)
    95354    0.198    0.000    0.198    0.000 dektakWithoutMain.py:100(coefA)
       85    0.002    0.000    0.197    0.002 /usr/lib/python2.7/dist-packages/scipy/stats/distributions.py:1071(_construct_doc)
     1687    0.011    0.000    0.194    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1287(transform_point)
     4498    0.062    0.000    0.191    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:150(__init__)
     5373    0.035    0.000    0.189    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2485(__init__)
     3898    0.018    0.000    0.188    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:770(unit)
        2    0.000    0.000    0.183    0.092 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:712(subplot)
        8    0.000    0.000    0.183    0.023 /usr/lib/pymodules/python2.7/matplotlib/backends/tkagg.py:5(blit)
10905/7725    0.017    0.000    0.181    0.000 {hash}
        1    0.000    0.000    0.180    0.180 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:1140(tight_layout)
        1    0.001    0.001    0.180    0.180 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1510(tight_layout)
9985/9937    0.036    0.000    0.179    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2368(get_matrix)
     5928    0.070    0.000    0.177    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:649(__init__)
        1    0.004    0.004    0.175    0.175 /usr/lib/pymodules/python2.7/matplotlib/figure.py:13(<module>)
        1    0.000    0.000    0.175    0.175 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:266(get_tight_layout_figure)
        1    0.000    0.000    0.174    0.174 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:37(auto_adjust_subplotpars)
        2    0.000    0.000    0.173    0.087 /usr/lib/pymodules/python2.7/matplotlib/axes.py:8867(get_tightbbox)
    11829    0.068    0.000    0.173    0.000 /usr/lib/python2.7/dist-packages/numpy/core/shape_base.py:6(atleast_1d)
     9790    0.052    0.000    0.170    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:869(set_foreground)
     1435    0.022    0.000    0.169    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:236(_get_agg_font)
    59305    0.119    0.000    0.169    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:211(pchanged)
     3180    0.040    0.000    0.168    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:695(__hash__)
    15121    0.125    0.000    0.167    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/twodim_base.py:169(eye)
     2593    0.012    0.000    0.164    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1322(transform_path_non_affine)
        1    0.000    0.000    0.162    0.162 dektakWithoutMain.py:419(first_order_difference)
     4299    0.028    0.000    0.157    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2448(__init__)
     3908    0.024    0.000    0.154    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1008(__init__)
     3914    0.021    0.000    0.150    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2352(__init__)
        4    0.000    0.000    0.149    0.037 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1008(get_tightbbox)
    45611    0.090    0.000    0.148    0.000 /usr/lib/python2.7/weakref.py:223(__new__)
